fen,best
3r4/1R6/3k4/5p2/PpPp3P/1nnN2R1/2K5/8 w - - 1 78,g3g6
rn3bnr/B1p1p2p/b1k3p1/1p1p1p2/P4P1P/qPN2N1R/2PQP1P1/1R2KB2 w - - 3 23,d2d5
2bkr3/1p1B4/8/1n1N3p/p1Pr3P/b2PQpK1/8/2N4R w - - 0 50,e3e8
R6B/2k5/Pb6/5B2/8/B1P1R3/3K1p2/5N2 w - - 17 94,a8c8
1k6/4R3/8/P4p2/5P1R/p7/8/1N4K1 w - - 0 71,h4h8
r1R2bQ1/pq1k4/3pp1p1/3P4/Pp3p2/1P3PN1/1RPKnP2/1NB2B2 w - - 7 31,g8e6
R3B3/2k5/1p3R2/4K3/p6P/1r6/8/8 w - - 12 90,f6f7
4N3/3p3p/1KQ2P2/nbB1k2p/P3p1pb/8/7P/4R2R w - - 7 68,c6e4
3k2nr/4ppbp/p5p1/2pB4/b1p1NQ2/B4PPB/P3P2P/R3K1NR w KQ - 7 18,f4b8
6Q1/BR6/3k4/3n1PNR/2P1B1P1/1p2P3/3r4/n1N2K2 w - - 2 58,g8e6
1R6/3k1Nb1/5QK1/8/P3p3/1pp5/2R3p1/8 w - - 2 97,f6d6
N3r3/7R/1pk5/p7/P6p/1b1R1p1K/8/8 w - - 8 77,h7c7
1krq4/1b2n3/Q1P2nN1/BB1pp1rp/P6P/6P1/R2P4/bN3K2 w - - 1 41,a6b7
2qQ4/1rp1b1p1/p1kp4/1pP2p1n/1PBP1P2/P4N1P/6P1/B1R1K3 w - - 0 28,d4d5
r3r3/p3pnb1/Bkpp2pn/5Q1p/1P1N1P2/4P2P/P2P2P1/R1B1K2R w KQ - 5 19,f5a5
4Rrn1/k7/2P4P/3Q4/2p5/2P3K1/4r3/8 w - - 0 90,d5a5
6Q1/k2b4/8/1R3B2/1p5P/1p5P/2p1KPB1/2N3N1 w - - 5 67,g8a8
4R3/3P4/k1K5/2Pr4/7p/7P/8/8 w - - 9 122,e8a8
4N1r1/1Q3p2/r1p1k1p1/p4nPp/P1Pb1P2/3K3B/4N2R/2B5 w - - 1 47,e2d4
1rbk1bnr/p2npQ1p/3p4/1pP3N1/q1P5/P3P1P1/4KP1P/RNB2B1R w - - 1 15,g5e6
5b2/Pkrn4/2b3p1/2PRp3/1r2N1P1/7P/RP2KB2/1N6 w - - 3 57,a7a8q
1n2kr2/7p/pB1pbp1n/qp4pP/4QN2/1P1PpPPR/R7/5K2 w - - 2 40,e4e6
4k1n1/1Q2prb1/5ppp/1q2P2P/8/1p3PPN/4B3/3K2N1 w - - 2 54,b7c8
4k1b1/R7/5BR1/1n1B4/P4P1N/4P2p/4K2P/8 w - - 13 56,g6g8
8/5Qr1/8/p1pb3p/2Ppkb1P/PR5R/4n3/3n1K2 w - - 0 68,f7d5
r4r2/1b4bp/p1p2kp1/1p1p1qN1/PQ1Pp3/RPNPB1PP/4PR2/2K2B2 w - - 0 31,b4d6
1n4r1/7Q/4k1p1/1p4bp/3RpPP1/BPP2N1P/3Np3/R1K5 w - - 2 51,d4d6
1rb1k1r1/1npN2bp/8/p2ppN2/PQ3pP1/5Pp1/1P4B1/R1B1K3 w - - 0 33,b4e7
5b1r/r2k4/QP1N2N1/4Pbpp/1p2p3/7P/P2R4/R1K5 w - - 2 45,a6c8
2n4R/q1p1k3/2n1pp2/2b4P/PPPpN2P/6R1/BB1P1P1N/5K2 w - - 1 36,g3g7
1rn1k3/p1p4r/PpP3p1/4p2p/1Bp4P/3B1Q2/1b2K3/1R4N1 w - - 2 45,f3f8
6k1/1b6/4RPP1/7P/2p5/7N/3B1K2/8 w - - 3 101,e6e8
1nbq2nr/2kp2p1/1p5p/r2Pp3/2K1pP2/p3BB2/PQ3NPP/6RR w - - 1 27,b2b6
1k6/1p6/pP6/6rp/3P4/2n5/2N2R2/2R2K2 w - - 1 60,f2f8
8/3k4/2p1p3/Q1P2pB1/8/p4K2/4n3/8 w - - 4 112,a5d8
r7/k5b1/p7/P2PP2p/RR5P/3B3n/3P4/BN5K w - - 5 63,a1d4
3Q4/6R1/5N1k/B7/8/5r2/2r5/4K3 w - - 3 144,d8h8
1r1k4/1p5N/1P3p2/p1Pn3p/P3R3/4B2B/3RPb2/N1K5 w - - 1 50,d2d5
5k2/8/3N1Pp1/BRK3P1/2P4p/8/8/5br1 w - - 1 98,b5b8
4k3/1p2b3/1P2R3/p3p1Q1/7p/7P/3p2Bp/7K w - - 2 65,g5e7
4Q1K1/8/1B5k/8/p5pp/7R/4b2P/1N6 w - - 1 73,b6e3
1k6/5R2/2P5/4P1P1/5p2/N1p2Pp1/3Q4/5K2 w - - 0 82,d2d8
rnbqkbnr/3pp1p1/pppQ3p/5p2/2P5/5N2/PP1PPPPP/RNB1KB1R w KQkq - 2 8,d6g6
2r4q/3p3Q/nPbBkp2/7r/P1ppP1P1/5K2/3bN1B1/RN6 w - - 7 41,h7e7
r2k1N2/N7/5R2/3p4/P2PBPQ1/8/8/3NRK2 w - - 1 53,g4d7
5Rn1/8/kpBN4/4p2p/p6p/P2bP3/7K/2B2q2 w - - 5 63,f8a8
rn3b1r/5bpp/2p2pkn/ppq1pN2/1P1PP1PP/R1NP4/5PK1/2BQ1R1B w - - 10 24,h4h5
rnn5/8/5Rp1/2p1k1P1/PQPp4/3P1KP1/6B1/4N2r w - - 10 51,b4c5
5N2/3Pkr2/7N/p7/P5r1/2p1K3/8/3R4 w - - 7 104,d7d8q
7r/6Q1/8/4b2k/8/2B4K/8/1B6 w - - 0 154,g7g6
8/2p1n1B1/4p3/qp4k1/pR2Q3/P1Pr1P2/P6K/3B1R2 w - - 1 57,e4g4
1R3n2/3kr3/3ppp2/PP1q4/2Q1Pp2/1N1b3P/RP1KBb1P/1N5R w - - 1 40,c4c8
8/4Pkb1/K3R1p1/3p2rp/P6n/5NP1/8/8 w - - 2 66,e7e8q
1n6/P3pkP1/1pp5/1B1pP3/6R1/4P3/P1P2P1r/RNBK4 w - - 1 34,g7g8q
Q3Nk2/8/5P2/8/5n2/8/8/3K4 w - - 13 140,e8d6
3B4/1b6/k1B5/8/8/5RK1/8/8 w - - 22 141,f3a3
r1bqkbnr/ppppp2p/2n2p2/6p1/4P2P/2N5/PPPP1PP1/R1BQKBNR w KQkq - 0 4,d1h5
2b1k1r1/1N1pppb1/4PQpp/2p4P/p7/R3q1P1/1PPNrP1R/3K1B2 w - - 2 33,f6f7
r2q1br1/pbp1p1pp/3pn2k/p3P1NP/8/R1KPQ2n/NPPBB1pR/8 w - - 7 24,g5f7
6Br/1R5p/2nk4/p1N1pPQ1/7b/2P1KR2/6r1/5N2 w - - 21 61,c5e4
rnb2bnr/pp1p1k1p/4pp2/2pq1N2/1PP1P3/7P/P2PQPP1/RNB1KB1R w KQ - 0 12,e2h5
1r2k2r/1p3NQ1/1pppP1N1/bP5p/2P1P2P/Pn4P1/b4K2/5B1R w - - 3 31,g7h8
4k3/1R6/3n3r/p6n/P1p5/3r4/5KR1/5N2 w - - 6 82,g2g8
r6r/p2nQNk1/n1p2pp1/Pp1pN2p/2P1P1P1/8/3B2BP/RKb3R1 w - - 3 36,f7h6
6nr/2pn1p2/1pk2b2/3pQ2p/r1P1PP2/P2P2P1/bP2K2P/1RB1R3 w - - 1 33,e5d5
r1b1k2r/p2R1pp1/p1p3Q1/4pn1p/4P1P1/3BbP2/3N3P/2B1K2R w - - 3 26,g6f7
b5kr/K7/1P2P3/NPb3Pp/P1R3N1/1r3Q1B/8/8 w - - 3 49,f3f7
r7/1R6/2p5/3Q4/k7/4K1pb/8/8 w - - 2 85,d5a2
8/2q5/bp6/6Q1/2k1K2p/P7/1R3P2/8 w - - 4 82,g5c1
8/3R4/3b3k/6p1/6p1/NK1B3p/P6R/8 w - - 0 78,d7h7
2k5/3b4/3Bp3/2P3p1/2p1p3/8/pR6/K5R1 w - - 2 65,b2b8
4Q3/8/1P2R2P/3k2K1/2p5/2Pn4/8/2r3n1 w - - 3 92,e8c6
8/6r1/2p1p3/p1PPk1N1/2R5/B3N3/P1BK1Pr1/8 w - - 3 60,a3b2
B1r5/4R3/7k/1p3KNp/1p1P4/b1B5/8/8 w - - 5 83,e7h7
5b1k/5Q2/2pp3p/p2p1p1P/3q4/3NP1R1/P2R1PrP/3BK3 w - - 0 49,f7g8
r7/n3k2N/6P1/p2R4/P5PP/2p5/3P2R1/4K3 w - - 1 49,g2e2
1n2k1r1/4n3/r3R2p/pNN4P/P1K2p2/5P2/8/2R3Q1 w - - 7 51,g1g8
6k1/2Q5/b1p3p1/b5p1/3B2Nr/1p1r3p/1RP3BK/2R5 w - - 1 63,c7g7
4B3/1Pk5/8/p7/P2pN1p1/4p2R/1R2K2P/2Bn2r1 w - - 2 68,b7b8q
R7/7Q/p4k1P/PP1pp2R/2p3np/7B/2p1K3/2R5 w - - 0 45,a8a6
r7/8/7K/8/5R2/2p5/7R/k7 w - - 15 114,f4f1
8/8/8/1R6/4P3/k5BN/3K4/4R3 w - - 10 117,e1a1
7k/8/5RQ1/pPn5/2pPP1P1/8/3KB3/2B5 w - - 2 74,f6f8
Q1rk1b1n/5p2/Br2pP2/6pp/3P2P1/2P4P/7R/1N3K2 w - - 1 67,a8c8
2bqkbnr/r1ppp1p1/B1n2p1p/8/P2P4/Np1QP3/1PP2PPP/1RB1K1NR w Kk - 2 9,d3g6
1n1k4/r2pr1b1/5p1p/2p3pn/b2p2P1/5P1B/PQ1NP1KP/1R2B1NR w - - 4 25,b2b8
2kr1bnr/p1pqppp1/3p3p/1B6/5P2/P3PQPb/1BPP3P/RN2K1NR w KQ - 3 11,f3a8
8/8/2Q2b2/k6K/B7/8/8/8 w - - 39 224,c6b5
3kr3/8/8/3N3p/P4K1P/2Q3P1/R7/8 w - - 1 86,c3c7
bRr1k3/4br2/p7/3p2Np/4R1Bp/8/P2PKR2/2B2Q2 w - - 5 50,b8c8
k7/5R2/B2P2P1/2p1pQ2/np6/3K4/1p6/5rR1 w - - 8 79,f5c8
3r3R/r5k1/4K3/p2p2P1/P2P2Pb/1P1n4/2N4P/R4Q2 w - - 3 68,f1f6
rnbqkb1r/p1ppp3/p1n3p1/5P1Q/4P3/2P5/PP1P1P1P/RNB2KNR w kq - 0 11,h5g6
5Q2/k7/3P4/P6P/B7/2R5/3K4/7B w - - 3 112,f8a8
3k4/8/2PP4/6pB/1p4P1/4p1br/5R2/3K4 w - - 5 59,f2f8
2R2Q2/rp1k4/8/pp1n1P2/3n4/P6P/8/B4K2 w - - 0 50,f8d8
4k3/4P3/3P2p1/2b1N3/8/Pr3p2/3K3R/6n1 w - - 0 76,h2h8
5kb1/R3n3/1r3NPP/2B1K2P/2p5/p7/8/6N1 w - - 1 88,c5e7
rnbqk1nr/pp1pp1bN/2p2p1p/8/8/4P1P1/PPPP1P1P/RNBQKB1R w KQkq - 1 6,d1h5
4Q3/8/8/k6p/B2p4/1p5n/4Kb2/8 w - - 3 118,e8b5
k5nr/5n2/p1pPQ3/3P4/2r2pB1/4B1p1/P2K2P1/5R2 w - - 1 59,e6c8
1b6/2k3pr/1Nr5/2P2p1p/3RpP1n/4P1P1/2p3N1/2B4K w - - 2 41,d4d7
5k2/2R5/4BB2/2n1p3/4P3/8/1r6/3K4 w - - 25 92,c7c8
r2qkbnr/pppbp2Q/n4p2/3P3p/3P2p1/1P6/P2KPPPP/RNB2BNR w kq - 0 8,h7g6
rnbqk1nr/2pp1p1p/p2b2p1/2P1p1N1/P2PP3/5Q1P/1p3PPR/1NB1KB2 w kq - 0 12,f3f7
1rb3kB/pQ5p/n3P3/2bP2p1/4KPn1/2N4P/P2p3R/2R2B2 w - - 0 32,b7g7
2b4r/2p5/5p2/r3Qpkp/7N/B2pn1PP/P2PPK2/RN6 w - - 6 39,e5f4
rnb1kb1r/p1p1pp1p/1p4pn/1q1p4/1P3PQP/3PP3/P1P3P1/RNB1KBNR w KQkq - 2 7,g4c8
1k6/r7/2P5/p6P/P1p5/8/4K3/3Q1R2 w - - 1 71,d1d8
1r2k2r/6b1/bp1p1Q2/1Pp1p2p/P1P2Pp1/1K3B2/3P4/RNB3N1 w - - 0 32,f3c6
8/3p1nrk/1R1PP2B/6pp/2p2PpP/8/1Q6/1N1K3R w - - 0 77,b2g7
5b1r/r3pp1p/1p1N1qp1/p1p2bP1/1B1N3P/1PPk1P1B/P2P3R/R3K3 w Q - 0 24,h3f1
2k5/8/2K5/8/8/2Q4p/5N2/8 w - - 4 114,c3h8
2rk4/2n2Qb1/P2P3r/1pp1p1pp/1p2npP1/1P5P/3N1R1R/6KB w - - 2 51,f7e7
5qB1/3n4/4b2k/1p1nrpRP/q5P1/4p3/1K6/8 w - - 1 92,g5g6
r5nk/Q6r/Pb4P1/2Pp3P/n3P1BP/8/R1N1K3/2B3N1 w - - 1 62,a7h7
5Br1/r4pp1/b4k1p/2P3NP/1p1nP1P1/p4N2/1P3P2/3RKnR1 w - - 0 36,e4e5
rBbqk3/3p1r1p/p4p2/1p3nN1/P1Qbp1pP/2PP2P1/3KPPB1/4R2R w q - 10 25,c4f7
4rb2/4kr1p/1p1pB2R/pQp3p1/P1P2PP1/1P6/3PPp2/1NB2KN1 w - - 2 31,b5d7
2r2k2/3bb1n1/2n2N1p/1P3p2/1P4p1/1QpPP1PP/5P2/1R3KNR w - - 4 35,b3g8
r2qk1n1/p1p4r/np1P1p1p/4p2b/7R/PPbPKPQB/2P5/2B3N1 w - - 1 23,g3g8
8/4b3/N1p3p1/2P2nk1/R1KNpp2/NP3PPR/1B6/8 w - - 1 39,d4e6
1n1kr3/4b2N/3p4/p5P1/2RP1p2/4P1RB/5P2/3bK3 w - - 2 48,c4c8
r1bk3b/p6R/Ppnp4/1P6/8/5RK1/4PP2/6N1 w - - 3 62,f3f8
r1b3r1/2k2n2/3R2p1/1p3p1p/1bp2K1P/7R/P1N5/6QN w - - 2 59,g1b6
6bk/1RB4P/1n6/7R/4Pp1P/1p1B1p2/5P2/4K3 w - - 1 78,c7e5
2nk1b1r/p2b4/P6p/1Q3BNr/1PppP2p/1P3P2/3K3R/5R2 w - - 0 58,b5d7
r1b4r/p1N2ppp/1p1p2kB/2p5/q1PpP3/P4PP1/P2QK2P/1R3BR1 w - - 0 24,d2g5
3k2n1/8/3K4/pP1P3r/P5p1/2N5/5R2/7b w - - 3 62,f2f8
3k4/7Q/3bP3/3P4/2p1B3/3p2p1/8/K7 w - - 7 120,h7d7
4k1r1/r2pn2p/b7/nPb2ppP/2Q5/2p2NKB/4R3/N1b5 w - - 6 44,c4g8
r1bqkbnr/pp1pp1p1/n4p2/2p4p/P1P5/7P/1PQPPPP1/RNB1KBNR w KQkq - 0 5,c2g6
8/5N2/8/1K1k3P/8/r7/1Q6/8 w - - 11 135,b2e5
5k1r/1Np3bp/6B1/1pn1PnQ1/P1pP1P2/8/2K5/R6R w - - 1 38,g5d8
6n1/8/3B4/p2N1k1P/r2PpP2/6K1/1b2BN2/2R5 w - - 18 90,e2g4
8/8/k6P/2K5/8/8/1Q6/8 w - - 75 184,b2b6
3k3n/8/Q2B4/1B2p3/2n1P1PP/5K2/2R5/6NR w - - 12 88,a6a8
rnb1nr2/p2p1pb1/2p3p1/1B1kp3/1Q1P3R/N1P1PP1N/PP1K3P/3R4 w - - 1 27,b5c4
1r2kr2/p4p2/8/2p3BP/2b1B3/P1nP2b1/1p3Q2/3R1K2 w - - 4 53,e4c6
rn4nr/3bb2p/qQ3Pk1/p2p4/p5PP/2Pp1N1B/1P1BP3/RN4KR w - - 3 25,f3e5
1n3bnr/1r1pq3/3kp1p1/2p3pp/pp3P1P/R1QP1BPN/2PKP2R/1N6 w - - 0 24,c3e5
2k3rb/ppB1p2n/2pQP3/3n1R2/2P4r/5PP1/P3K3/Rb3BN1 w - - 0 43,d6d7
5b2/7B/7k/5Q2/1P6/2p5/2N2K2/8 w - - 2 124,f5g6
7k/8/8/3B4/7K/8/8/2Q5 w - - 11 119,c1h6
3k4/8/RN1P4/4P2B/8/8/4K3/8 w - - 5 136,a6a8
1r6/2kr2b1/P4Nb1/2pQ4/6PK/1R6/8/8 w - - 3 99,d5d7
rnbqkbnr/ppppp2p/5p2/6p1/7P/4P3/PPPP1PP1/RNBQKBNR w KQkq - 0 3,d1h5
2r2br1/np1bp1Bp/1Q6/1p2Pk2/q1NP2R1/PpK2p1N/5P1P/3R4 w - - 5 33,g4f4
4r3/2P1b1r1/3QPp1B/kb3P2/p1P5/P4K2/B4R2/1N4N1 w - - 1 55,h6d2
8/k7/2pb4/2N4r/P1n4P/4pKp1/1Q2rB2/3R3B w - - 1 56,b2b7
rn3k1b/5q1p/Pp2P3/2p2Qp1/p1Pn3P/P2P2P1/3N1KB1/R5NR w - - 1 38,f5f7
1n1rk3/qp2rbBN/2p5/p2P3p/P2P4/1P1Np2P/4KPPR/R1Q2B2 w - - 0 32,h7f6
7k/7P/8/6br/3R4/4RK1b/1BB5/8 w - - 11 94,d4d8
2N5/6R1/4Pr2/8/1P3p2/pn3p1k/K4P2/1R6 w - - 6 78,b1h1
2k2r2/3R4/P1P5/5P1p/2K1B2p/Q7/8/8 w - - 5 98,a3f8
r1bq1b1r/p3pk1p/npp2N1Q/5pp1/1P2P3/3B2PN/PBPP1P1P/R3K2R w Q - 0 18,h3g5
6k1/3R4/1R6/P1P5/1Bb2P2/P3n3/2p2K2/8 w - - 5 74,b6b8
r1bqkbnr/pp1pp3/n4pp1/2p5/1PP3p1/N7/P1QPPP1P/R1B1KBNR w KQkq - 0 7,c2g6
8/8/1B2NbBP/1P2kp2/p1Pp2n1/1P6/8/3K3Q w - - 8 54,h1d5
7r/1Q6/5k2/1p5B/pP1P3P/4P3/1R6/4K1N1 w - - 6 78,b7f7
2r5/3r4/1pNk4/PP4Qn/4PpPp/2Pp3p/1R2B3/5KR1 w - - 1 44,g5e5
3rNk2/1p1b2pQ/pbpp4/2Pn3B/P7/1P2P3/5r2/R1BK3R w - - 2 27,h7g7
7Q/1r3k1P/1Rp5/p7/p1P1PN2/2K4R/1n4N1/8 w - - 1 71,b6b7
2rk2nr/8/2pbppBp/pp1p4/P1P3b1/NP1PKP1P/3N3Q/R1B4R w - - 0 21,h2d6
rn3knr/BpQ5/p3K2p/Pb1p2q1/8/R1N4P/4NPP1/5B1R w - - 0 27,c7f7
7k/1Pr4N/3Q3p/p2P2pP/N1P1B3/P3P3/8/2K5 w - - 2 73,d6f8
2rk2nr/2p2Qbb/1N6/ppB4p/2PP2pq/1P4n1/P2KPPPP/R4BR1 w - - 1 26,f7d7
5b1r/4p3/4P3/PR5n/6pP/k1pP1p2/7K/6R1 w - - 2 64,g1a1
r7/b1pb3k/4Q3/5N1p/1r1P3P/3n1N1K/P7/1R4R1 w - - 6 60,e6h6
1nb1k2r/R5pp/1Pp2p2/1P1pp2N/1Q4n1/2q4P/2NPPPPR/2B1KB2 w - - 0 27,b4e7
R7/n5k1/6r1/pp2pp1Q/1PB4P/P7/4R2B/3K4 w - - 4 82,h5h8
5k2/1r1np1r1/7b/P4PN1/2Rp3N/3BPQ1R/1P6/1KB5 w - - 0 55,c4c8
4R3/p2b4/1rp2kp1/5p2/3b1P2/PB5P/1BK5/6r1 w - - 2 61,b2d4
2R4r/p2kn3/3p2rn/Q1PP1pP1/PBp1p2p/4P2P/8/1N2KBNR w - - 0 30,a5c7
r1bqkbnr/ppppp3/6pp/7Q/Pn3p2/2NPP3/1PP2PPP/1RB1KBNR w Kkq - 0 7,h5g6
n7/8/6P1/1K4B1/3Q4/5n2/2k5/7Q w - - 21 128,h1d1
8/p3r2r/n1k1N1pp/b1P1Pp1P/P1PR4/1pN5/1n6/R1K2B2 w - - 4 45,f1g2
r1b5/bppp2p1/p1n1pr2/4k1Pp/8/2NK2PB/PPPNPP2/2R3R1 w - - 3 30,d2c4
rk4r1/7b/3P1p2/P4B2/P3pb1P/3n3K/N3nQ2/7R w - - 2 67,f2b6
3Q4/8/2p1k3/1pPr4/4p1K1/2pB2p1/1B6/5R1R w - - 2 61,d8e8
rb6/1p6/k7/5Q2/P1N1pp1r/2B1P1pp/1P2K3/5RR1 w - - 8 56,f5a5
5R2/8/8/8/8/7K/8/7k w - - 65 187,f8f1
3k1b1Q/2q1pp2/r1Pp4/2p5/b3P1P1/2Kn2PR/3PN3/RNB5 w - - 1 31,h8f8
r2Q4/pk6/1P4qb/1PpP3p/4p1PP/2R5/3N4/2R4K w - - 0 45,d8c7
1b1k4/6Pb/2B5/P6p/3p1B1P/3P4/4R3/5RK1 w - - 5 72,e2e8
rn6/1bPpq3/pB1krp1b/1P3P2/4PN1p/N2B2P1/P1P3P1/2R1K2R w - - 9 39,a3c4
1B1n4/8/p7/Pk3p2/1p3P1p/RN1r1P2/b7/K1R3N1 w - - 18 62,c1c5
2bqkb1r/p1ppp3/n2r1p1p/P5p1/2P1B1P1/p3PN2/2PP1P1P/1NBK1QR1 w - - 0 17,e4g6
1Q6/1n1pk3/b4rBp/p3P1bP/PpP2BP1/1KR3b1/8/8 w - - 1 57,b8e8
2b1k3/5p2/np6/4PQB1/1N6/PpP5/4P2r/R3KBNR w - - 2 48,f5c8
2b2bn1/3rp1pr/pp1pk3/1P3p1p/5PNP/P1p2N2/3RP3/5K1R w - - 0 34,f3g5
3Rq2k/8/7K/p1p3p1/P1P5/8/2B5/8 w - - 1 94,d8e8
1nbk3r/rp2b1qp/3Np2n/p4pp1/P3P1PP/3B4/1PQP1K2/R1B3NR w - - 6 19,c2c8
3N4/3R4/1p1Rb2k/1Pp4p/1Bp2Pp1/2P5/5Kn1/8 w - - 1 61,d6e6
7k/1r2b2n/2r4p/P7/1p1p3B/1P3B1P/4K1R1/6R1 w - - 4 77,g2g8
1Q6/1b1r1k2/p2pR3/P2P1p1N/1p5P/B7/2P4b/4K3 w - - 3 47,b8e8
4k3/8/5K2/8/8/8/8/2Q5 w - - 5 158,c1c8
2b4k/n1P5/n3p1P1/4Pp2/1Q6/1p6/1R2K3/4R3 w - - 1 61,b4f8
1R6/3b2Bk/2P2P1p/7P/6r1/5K2/r7/8 w - - 3 108,b8h8
8/7Q/8/8/8/1B5K/p6n/2k5 w - - 0 125,h7c2
rn2r3/pbp2p2/k3pn2/2Pp2p1/1PP4p/1R2P2B/1PK1NR2/1NB5 w - - 4 33,b3a3
3k4/4b3/1p2B3/rP2Q3/p7/5P2/8/R1K3n1 w - - 4 75,e5b8
r1b3rq/2pp3p/2k1p3/pp2b1Pn/1QPPN2P/P3K1p1/R2nP3/5BNR w - - 3 26,b4b5
3k4/4pq2/2RP4/1p3B2/P6P/1p1K4/6Nb/8 w - - 2 80,c6c8
3k1n2/8/2Q4p/1p2B2P/4p3/P7/3r2r1/4K3 w - - 2 67,e5f6
1n4n1/2r3Q1/1Bkp4/p4ppN/P1P2P1P/1pPP3K/R3BNP1/3b3R w - - 8 38,g7c7
3k4/7R/3K4/8/8/1p6/1B6/2r5 w - - 49 149,h7h8
r1bk3r/pp2npbp/n3pB2/3p4/qQ1p4/P1P2NPP/1P1KPP2/RN3B1R w - - 3 16,b4e7
r4r2/3nbk2/1n2p3/q1p2pQP/p3pB2/N1PP1P2/PP4KP/1R4NR w - - 11 29,g5g6
1k6/7R/pr6/Pp3r2/1P2R1P1/5B2/4K1P1/8 w - - 3 42,e4e8
Bn1nkr2/7Q/1q1P4/P1p1p1P1/2p5/B3b2b/P2P4/1N1K3R w - - 1 30,h7e7
7k/3B4/1R6/p6n/P1N2p2/2P5/6R1/3K2N1 w - - 4 91,b6h6
6R1/R7/8/p1p5/3b4/2P2P2/2K5/k7 w - - 8 83,a7a5
1n1N4/4q3/8/1pr1p2p/1P6/6Pk/rRB4P/2BK3R w - - 6 46,c2f5
7b/7k/N4P1r/Pp1pn3/1Pp1P1QP/R7/2P5/5KR1 w - - 1 58,g4g8
r2k2n1/2pp1ppN/nq4b1/4p2P/pb2PPQ1/2P3P1/P5B1/3RK2R w K - 0 26,g4d7
2k5/4Q3/N7/8/8/8/8/6K1 w - - 8 135,e7c7
3Q2nr/2p4p/B5p1/3Pkp2/NbP5/P1N1BP2/n6P/1R1K1R2 w - - 1 41,f3f4
4Bk2/8/3P4/4B1P1/R5P1/4P3/7R/4K3 w - - 21 88,h2h8
r1bqkbnr/pppnp1p1/7Q/3p1p2/5P2/4P3/PPPP2PP/RNB1KBNR w KQkq - 1 5,h6g6
2r1Q3/1n3pr1/5k2/p1ppN2p/7p/p1P2NnR/1PBK1b2/3R4 w - - 6 39,e5d7
5kr1/3P1pp1/N3pn2/6bp/1P1p1B1P/1R1P2P1/4BP2/4R1K1 w - - 5 40,f4d6
1Q6/8/kBNP4/8/PP1K4/8/2Rn4/5q2 w - - 0 75,b8a7
6Q1/kr5q/1n4B1/rRN4P/p1P2P1P/P4R2/2bK4/2B5 w - - 15 74,b5a5
1n3br1/2qb2p1/1p1k1B1Q/1p1p1PP1/4P3/7P/1p1nKN2/r1R5 w - - 3 43,e4e5
5Q2/k7/3Q4/8/8/8/8/1K6 w - - 5 140,f8b8
r2q3b/n6R/5k2/p1pppb1Q/pP1PrP2/6P1/1BPK4/1R4N1 w - - 0 44,h5f7
5Q2/1Pk5/4P3/1P5r/2bp3p/8/3K4/8 w - - 4 74,b7b8q
rnbqkbnr/p2pp2p/8/1pp2pp1/6B1/PPP3P1/3PPP1P/RNBQK1NR w KQkq - 0 7,g4h5
8/1p6/1Q3p1k/5B1p/7P/N7/P2PN3/2R1nK2 w - - 1 51,b6f6
5n1k/3Q2rn/7P/p4P2/3p1N2/pP1KN3/5P2/1R2B3 w - - 6 66,d7g7
6k1/1Q6/2r2B2/8/7p/2b1K3/1b6/8 w - - 6 118,b7g7
3k4/p7/1r6/1P1NPB2/PP1pNp2/2R4r/3P3P/2BK3R w - - 4 49,c3c8
1n2k1nr/rp2pp2/p2pQ1pp/P1p5/3b1P2/RqP1P2P/1B1PB1P1/1N2K1NR w K - 0 16,e6c8
4k3/6Q1/2P5/6P1/4pP1K/p6B/p7/NR6 w - - 4 70,b1b8
r1b1r1n1/4b2p/nP1k4/1QpPp2q/2P2p1P/3P2p1/1P1KBPP1/1NB3NR w - - 0 29,b5c6
2k5/2p4R/r1P4B/3N4/qp5p/p5pb/6R1/4K3 w - - 4 61,h7h8
7k/2N5/1RP2P2/4NB2/8/8/7p/7K w - - 17 95,b6b8
r1k3rb/R7/n1pp4/1p2pPQp/5N2/1P1PP3/2P1N1PP/2BK1B1R w - - 0 31,g5g8
rn1qk1nr/p1ppp2p/b5P1/1p6/5Q2/2PB4/PP1K1PPP/RNB3NR w kq - 1 12,f4f7
r1bqkr2/p1p1np1p/1pn5/6pN/1Pp1p3/b3PPP1/P2PBK1P/RNQ1R3 w q - 2 17,h5f6
1Q6/8/4PPk1/6P1/5R2/5B2/N3p3/1R2K3 w - - 1 91,b8g8
5bnr/2rn4/p2N1pp1/Pp4kp/1p3RP1/6K1/1BPPP3/1b1Q4 w - - 2 32,d6f7
r1bq1bnr/ppp1p1pp/n2pk3/5p1Q/2P1P3/P7/1P1P1PPP/RNB1KBNR w KQ - 2 6,h5f5
r2Nq1nr/p1p1p3/3k1p1b/1P4Bp/PP1pPP2/3P2P1/4K1BP/nN4QR w - - 3 25,g1d4
8/n7/8/4kB1N/2K5/3R4/8/8 w - - 1 142,d3d5
rnbk4/2p1bpr1/p3QP2/3B3p/1pqp2Np/1P1P4/P4PP1/RNB1K2R w KQ - 2 23,e6e7
3k1bn1/rppqp1pr/7p/pB1Q1p1P/3nP3/P1P2N2/1P2bP2/RNB1K2R w KQ - 0 14,d5d7
r4r2/1b1nk1pp/2p1p2Q/B2pPPb1/2pP2n1/1p6/4KN2/RN3BR1 w - - 4 40,h6e6
